transcriptID_trim,log2FoldChange
TRINITY_DN2266_c0_g1::TRINITY_DN2266_c0_g1_i4,-2.88222582052896
TRINITY_DN3311_c0_g1::TRINITY_DN3311_c0_g1_i2,-1.42817152089584
TRINITY_DN3478_c0_g1::TRINITY_DN3478_c0_g1_i3,-1.5381477372463
TRINITY_DN3478_c0_g1::TRINITY_DN3478_c0_g1_i9,-1.72913888566028
TRINITY_DN709_c0_g1::TRINITY_DN709_c0_g1_i12,-3.27547464775787
TRINITY_DN12545_c0_g1::TRINITY_DN12545_c0_g1_i1,-1.03094728802946
TRINITY_DN134_c0_g1::TRINITY_DN134_c0_g1_i6,2.42036589126697
TRINITY_DN30_c0_g2::TRINITY_DN30_c0_g2_i1,2.16701896533571
TRINITY_DN1670_c0_g1::TRINITY_DN1670_c0_g1_i6,2.62526079248548
TRINITY_DN159_c0_g2::TRINITY_DN159_c0_g2_i3,1.9151616140335
TRINITY_DN1446_c0_g1::TRINITY_DN1446_c0_g1_i21,2.90017771783289
TRINITY_DN3_c0_g1::TRINITY_DN3_c0_g1_i11,2.71966419943206
TRINITY_DN2266_c0_g1::TRINITY_DN2266_c0_g1_i3,-2.24135122251093
TRINITY_DN2266_c0_g1::TRINITY_DN2266_c0_g1_i1,-2.24135122251093
TRINITY_DN44982_c0_g1::TRINITY_DN44982_c0_g1_i2,1.64327570200874
TRINITY_DN30_c0_g3::TRINITY_DN30_c0_g3_i1,1.29331943076463
TRINITY_DN13966_c0_g1::TRINITY_DN13966_c0_g1_i1,1.67491906811458
TRINITY_DN134_c0_g1::TRINITY_DN134_c0_g1_i12,2.78472768481076
TRINITY_DN2752_c0_g1::TRINITY_DN2752_c0_g1_i19,-1.42711456331812
TRINITY_DN2752_c0_g1::TRINITY_DN2752_c0_g1_i10,-1.42711456331812
TRINITY_DN9365_c0_g1::TRINITY_DN9365_c0_g1_i1,2.03137488809523
TRINITY_DN7169_c0_g1::TRINITY_DN7169_c0_g1_i1,-1.38229971872854
TRINITY_DN210_c0_g3::TRINITY_DN210_c0_g3_i1,2.09294613043065
TRINITY_DN9079_c0_g1::TRINITY_DN9079_c0_g1_i2,1.49537316668202
TRINITY_DN21_c1_g1::TRINITY_DN21_c1_g1_i1,2.42164829937498
TRINITY_DN221_c8_g1::TRINITY_DN221_c8_g1_i4,-1.24722884923268
TRINITY_DN16_c0_g1::TRINITY_DN16_c0_g1_i1,1.26021581209734
TRINITY_DN11061_c0_g1::TRINITY_DN11061_c0_g1_i2,-1.68336758996358
TRINITY_DN210_c0_g3::TRINITY_DN210_c0_g3_i1,2.20771440334166
TRINITY_DN30_c0_g2::TRINITY_DN30_c0_g2_i2,1.46692628797298
TRINITY_DN13837_c0_g1::TRINITY_DN13837_c0_g1_i1,-1.30646487622849
TRINITY_DN301_c0_g1::TRINITY_DN301_c0_g1_i2,1.96486847584193
TRINITY_DN7378_c0_g1::TRINITY_DN7378_c0_g1_i1,2.12851924187266
TRINITY_DN140_c0_g3::TRINITY_DN140_c0_g3_i1,1.58674065788544
TRINITY_DN21_c1_g2::TRINITY_DN21_c1_g2_i3,2.99770675117575
TRINITY_DN9060_c0_g1::TRINITY_DN9060_c0_g1_i1,-1.07538301240154
TRINITY_DN33_c0_g1::TRINITY_DN33_c0_g1_i18,1.82182228310638
TRINITY_DN3_c0_g1::TRINITY_DN3_c0_g1_i2,2.3783520723591
TRINITY_DN5477_c0_g1::TRINITY_DN5477_c0_g1_i2,1.48357051107318
TRINITY_DN577_c0_g2::TRINITY_DN577_c0_g2_i1,1.94114556132928
TRINITY_DN123_c0_g1::TRINITY_DN123_c0_g1_i6,1.51063060661181
TRINITY_DN3313_c0_g1::TRINITY_DN3313_c0_g1_i13,-2.1018573696744
TRINITY_DN1446_c0_g1::TRINITY_DN1446_c0_g1_i5,0.510579073217052
TRINITY_DN3_c0_g1::TRINITY_DN3_c0_g1_i7,2.23827429174593
TRINITY_DN7701_c0_g1::TRINITY_DN7701_c0_g1_i10,1.8549055913032
TRINITY_DN4518_c0_g1::TRINITY_DN4518_c0_g1_i1,1.79530528480576
TRINITY_DN7817_c0_g1::TRINITY_DN7817_c0_g1_i5,3.04687696691326
